식당명,주소,수집여부
설봉돼지국밥,부산광역시 금정구 수림로49번길 6,True
또순이돼지국밥,부산광역시 금정구 서부로 20,True
목촌돼지국밥 서동점,부산광역시 금정구 서동로 192,True
영진돼지국밥,부산광역시 금정구 개좌로 84,True
별미청 돼지국밥,부산광역시 금정구 금정로 249,True
행복돼지국밥,부산광역시 금정구 금샘로 567-1,True
장수돼지국밥,부산광역시 금정구 금정로237번길 12,True
남산돼지국밥,부산광역시 금정구 중앙대로 2023,False
언양돼지국밥,부산광역시 금정구 서동중심로 60-10,True
소문난돼지국밥,부산광역시 금정구 금사로 171,False
마루돼지국밥,부산광역시 금정구 개좌로 59-12,True
금문돼지국밥,부산광역시 금정구 금강로 684,True
우리마을돼지국밥,부산광역시 금정구 금강로 728-1,True
무진장돼지국밥,부산광역시 금정구 중앙대로1531번길 12,False
수라돼지국밥,부산광역시 금정구 금정로 57-1,True
장수원돼지국밥,부산광역시 금정구 범어천로 4,True
화로돼지국밥,부산광역시 금정구 수림로19번길 25,True
밀양돼지국밥,부산광역시 금정구 중앙대로1929번길 6,True
서동돼지국밥,부산광역시 금정구 서동로 130-1,False
정원돼지국밥,부산광역시 금정구 중앙대로1685번길 31,False
가야공원돼지국밥,부산광역시 금정구 장전온천천로 87,True
미광돼지국밥,부산광역시 금정구 서부곡로 13,True
합천돼지국밥,부산광역시 금정구 서금로 17,True
왕대박돼지국밥,부산광역시 금정구 수림로50번길 200-7,True
현대보쌈돼지국밥,부산광역시 금정구 부곡로 45,True
복돈돼지국밥,"부산광역시 금정구 범어천로52번길 31, 1층",False
고려돼지국밥,부산광역시 금정구 중앙대로 1920,True
한성 가마솥 돼지국밥,부산광역시 금정구 금강로 683,True
장전돼지국밥,부산광역시 금정구 부산대학로49번길 13,False
백년 돼지국밥,"부산광역시 금정구 개좌로 17, 1층",False
한뚝배기 돼지국밥,"부산광역시 금정구 서명로 9, 1층",False
밀양돼지국밥&감자탕,"부산광역시 금정구 중앙대로1959번길 8, 1층",False
구월산 돼지국밥,"부산광역시 금정구 장전로 14, 1층",False
청화백 돼지국밥,"부산광역시 금정구 부곡로 142, 1층",True
서면포항돼지국밥,"부산광역시 부산진구 서면로68번길 25, 지상1층",True
부산돼지국밥,부산광역시 부산진구 신천대로65번길 63,True
큰집돼지국밥,부산광역시 부산진구 백양대로60번길 18,True
돼지국밥집,부산광역시 부산진구 동천로132번길 23-1,False
장터돼지국밥,"부산광역시 부산진구 가야대로 590-2, 1층",False
한방돼지국밥,부산광역시 부산진구 연수로 41,True
장수 돼지국밥,부산광역시 부산진구 가야대로703번길 5,True
수영본가돼지국밥,"부산광역시 부산진구 서면로68번길 25, 1층",True
중앙돼지국밥,부산광역시 부산진구 범일로154번길 28,True
본동개금돼지국밥,부산광역시 부산진구 백양대로 232-4,True
가야돼지국밥,부산광역시 부산진구 가야대로454번길 11,True
시골돼지국밥,부산광역시 부산진구 골드테마길 54,True
합천돼지국밥,부산광역시 부산진구 엄광로44번길 36-2,True
당감동 돼지국밥,부산광역시 부산진구 당감서로 7-1,True
수영공원돼지국밥(분점),부산광역시 부산진구 엄광로 128,False
선정문 돼지국밥,부산광역시 부산진구 동평로 43,True
일품장원돼지국밥,부산광역시 부산진구 서면문화로 34,True
원조가야돼지국밥,부산광역시 부산진구 엄광로 136-1,True
덕분이네 합천돼지국밥,부산광역시 부산진구 부전로140번길 27,True
백양돼지국밥,부산광역시 부산진구 백양관문로 84,True
늘찬돼지국밥,"부산광역시 부산진구 당감서로 84, 아시아드빌딩상가 2층 207,208,209,218,219,220호",True
정가네합천돼지국밥,부산광역시 부산진구 연수로11번길 57,False
영진돼지국밥,부산광역시 부산진구 진남로 601,True
조방돼지국밥,부산광역시 부산진구 골드테마길 37,True
이가네부산돼지국밥·밀면,"부산광역시 부산진구 신천대로50번길 66, 1층",False
청도돼지국밥,부산광역시 부산진구 새싹로 209,False
가야공원돼지국밥,부산광역시 부산진구 가야공원로 66 ),True
영진돼지국밥,"부산광역시 부산진구 가야공원로 67, 1층",True
풍성돼지국밥,"부산광역시 부산진구 서전로58번길 8, 1층",True
화남정돼지국밥,"부산광역시 부산진구 성지로 50, 1층",True
산청 돼지국밥,"부산광역시 부산진구 진사로61번길 29, 제15동 지하1층 2호,3호",False
초읍공원돼지국밥,부산광역시 부산진구 성지로 66,True
나주돼지국밥,부산광역시 부산진구 가야대로765번길 8 ),False
부산돼지국밥,"부산광역시 부산진구 새싹로 84, 지하1층",False
교통부돼지국밥,부산광역시 부산진구 연지로 12-1 ),False
부자돼지국밥,"부산광역시 부산진구 백양순환로 155, 1층",True
부자돼지국밥,"부산광역시 부산진구 냉정로 234, 1층",False
(주)행복만들기 밀양순대돼지국밥 서면점,"부산광역시 부산진구 신천대로50번길 65, 지상1층",False
수영공원돼지국밥,"부산광역시 부산진구 가야공원로 59, 1,2층",False
소문난돼지국밥,"부산광역시 부산진구 서면로68번길 38, 1층",True
진짜소문난돼지국밥,"부산광역시 부산진구 가야공원로 56, 지상1층",True
제일돼지국밥,"부산광역시 부산진구 당감로 108, 협성피닉스타운 112동 1층 105호",False
진주돼지국밥,"부산광역시 부산진구 부전로158번길 10, 1층",True
소문난장터돼지국밥,"부산광역시 부산진구 동천로132번길 24, 1층",True
본토돼지국밥,"부산광역시 부산진구 당감로45번길 16, 1층",True
착한진돼지국밥,"부산광역시 부산진구 복지로13번길 73-11, 1층",True
연돼지국밥,"부산광역시 부산진구 범일로192번길 33, 지상1층",True
일타돼지국밥,"부산광역시 부산진구 거제천로 54, 1층",True
최고쌍둥이돼지국밥,"부산광역시 부산진구 부전로152번길 37, 1층",True
갈맷길돼지국밥,"부산광역시 부산진구 동평로 203, 1층",False
소문난장터돼지국밥2호점,"부산광역시 부산진구 동성로96번길 10, 1층",False
필순할매돼지국밥,"부산광역시 부산진구 새싹로8번길 16, 1층",False
참잘돼지국밥,"부산광역시 부산진구 서전로 11-1, 신전빌딩 1층",False
다복 돼지국밥,"부산광역시 부산진구 냉정로 204, 1층",True
최고집명가돼지국밥,"부산광역시 부산진구 중앙대로 903-1, 1층",True
흥부돼지국밥,"부산광역시 부산진구 전포대로200번길 24, 1층",True
